type,rating,listed_in,release_year,duration_mins,cluster
0,11,350,2014,113.0,2
1,11,412,2016,2.0,1
1,12,292,2021,3.0,2
0,8,52,2021,124.0,0
0,11,39,2007,116.0,0
0,9,199,2011,106.0,2
0,9,200,2011,145.0,2
1,9,455,2021,1.0,1
1,9,80,2021,1.0,0
1,12,433,2021,4.0,1
0,9,274,2021,93.0,2
1,11,264,2021,1.0,2
1,11,235,2021,1.0,2
1,9,385,2021,1.0,1
1,11,414,2021,1.0,1
1,11,410,2021,1.0,1
0,11,322,2020,95.0,2
0,8,0,2014,108.0,0
0,11,345,2020,90.0,2
0,11,289,2021,86.0,2
0,6,138,2021,92.0,0
1,10,446,2019,3.0,1
0,11,288,2021,82.0,2
1,13,433,2021,1.0,1
0,12,287,2021,70.0,2
0,9,353,2021,122.0,2
0,9,353,2021,122.0,2
0,9,353,2021,122.0,2
0,9,353,2021,122.0,2
0,11,1,2021,84.0,0
1,9,500,2021,3.0,1
1,11,409,2021,1.0,1
1,11,399,2021,1.0,1
0,9,332,2018,96.0,2
1,12,292,2021,1.0,2
0,11,329,2021,115.0,2
0,8,36,2021,110.0,0
1,11,488,2021,1.0,1
0,14,131,2021,88.0,0
0,12,329,2020,102.0,2
0,7,322,2011,91.0,2
0,11,375,2021,105.0,2
0,9,329,1995,135.0,2
1,13,422,2021,5.0,1
0,11,281,2021,86.0,2
0,9,326,2020,140.0,2
0,9,329,2015,133.0,2
0,11,200,2020,92.0,2
0,12,200,2018,82.0,2
1,11,244,2020,1.0,2
0,9,220,2021,97.0,2
0,11,287,2021,78.0,2
1,13,422,2016,2.0,1
0,8,211,2014,94.0,2
1,9,81,2018,1.0,0
1,11,292,2020,1.0,2
0,8,175,1993,121.0,0
0,11,326,2020,97.0,2
1,14,422,2015,2.0,1
0,11,0,2021,110.0,0
1,11,499,2021,1.0,1
1,14,422,2021,5.0,1
1,11,244,2021,1.0,2
1,11,488,2021,7.0,1
1,11,241,2021,1.0,2
1,11,391,2021,2.0,1
1,9,417,2021,1.0,1
0,11,470,2021,64.0,1
0,12,2,2021,59.0,0
1,12,446,2021,1.0,1
0,9,217,2016,101.0,2
0,11,319,2020,127.0,2
0,7,281,2021,90.0,2
0,9,230,2021,114.0,2
0,8,326,2013,108.0,2
1,13,422,2021,2.0,1
1,9,393,2021,1.0,1
1,11,241,2018,1.0,2
1,9,394,2019,1.0,1
